Date/Time (AEST),Hs (m),Hmax (m),Tz (s),Tp (s),Peak Direction (degrees),SST (degrees C)
2022-01-08T14:30,1.408,2.45,5.336,8.09,75,25.35
2022-01-08T15:00,1.418,2.18,5.561,7.511,83,25.35
2022-01-08T15:30,1.409,2.24,5.538,7.559,80,25.35
2022-01-08T16:00,1.384,2.26,5.511,7.331,84,25.35
2022-01-08T16:30,1.369,2.46,5.34,7.797,87,25.35
2022-01-08T17:00,1.506,2.85,5.637,7.361,77,25.35
2022-01-08T17:30,1.389,2.35,5.624,8.037,83,25.35
2022-01-08T18:00,1.504,2.24,5.74,7.769,80,25.35
2022-01-08T18:30,1.395,2.35,5.697,7.296,84,25.35
2022-01-08T19:00,1.394,2.31,5.535,7.621,87,25.35
2022-01-08T19:30,1.374,2.13,5.554,8.511,83,25.35
2022-01-08T20:00,1.483,2.38,5.842,7.873,91,25.4
2022-01-08T20:30,1.397,2.32,5.648,8.488,83,25.4
2022-01-08T21:00,1.344,2.38,5.391,7.59,81,25.4
2022-01-08T21:30,1.241,1.77,5.66,7.521,88,25.45
2022-01-08T22:00,1.321,2.35,5.644,7.797,90,25.4
2022-01-08T22:30,1.28,2.24,5.578,8.122,77,25.4
2022-01-08T23:00,1.243,2.05,5.634,7.996,80,25.4
2022-01-08T23:30,1.313,2.09,5.869,8.377,81,25.4
2022-01-09T00:00,1.284,2.15,5.72,8.225,84,25.4
2022-01-09T00:30,1.359,1.97,6.143,8.233,83,25.45
2022-01-09T01:00,1.307,2.33,5.717,7.912,77,25.45
2022-01-09T01:30,1.268,2.02,5.631,7.872,83,25.45
2022-01-09T02:00,1.259,2.03,5.698,7.641,80,25.45
2022-01-09T02:30,1.338,2.02,5.852,8.214,81,25.45
2022-01-09T03:00,1.289,2.47,5.831,8.408,77,25.45
2022-01-09T03:30,1.214,1.82,5.784,8.17,78,25.4
2022-01-09T04:00,1.326,2.24,5.936,7.939,80,25.4
2022-01-09T04:30,1.263,2.31,5.942,8.172,78,25.4
2022-01-09T05:00,1.213,1.9,5.677,7.851,75,25.4
2022-01-09T05:30,1.28,2.36,5.81,8.069,74,25.4
2022-01-09T06:00,1.301,2.4,6.029,7.923,73,25.4
2022-01-09T06:30,1.25,2.5,5.916,7.894,73,25.4
2022-01-09T07:00,1.31,2.03,5.908,7.568,78,25.4
2022-01-09T07:30,1.321,2.35,5.754,7.605,73,25.45
2022-01-09T08:00,1.271,2.22,5.756,7.816,75,25.5
2022-01-09T08:30,1.165,2.21,5.589,7.571,78,25.6
2022-01-09T09:00,1.272,2.1,6.046,8.183,88,25.7
2022-01-09T09:30,1.248,1.89,5.952,7.888,77,25.8
2022-01-09T10:00,1.239,2.19,5.725,8.04,71,25.95
2022-01-09T10:30,1.181,1.98,5.735,7.624,75,26.05
